Date,Meal,Entry,Food,Food Score,calories (kcal),carbs (g),fat (g),protein (g),sodium (mg),sugar (g)
2/1/2018,Breakfast,"Banana - Banana, 1 medium banana (126 g)",Banana,Healthy,105,27,0,1,1,14
2/1/2018,Breakfast,"Pure Protein - Whey Protein Vanilla, 1 scoop",Whey Protein,Neutral,150,8,3,25,100,2
2/1/2018,Breakfast,"Milk - Whole, 3.25% milkfat, 1.25 cup",Whole Milk,Neutral,183,14,10,10,122,16
2/1/2018,Lunch,"Wegmans - Organic Ciabatta Roll, 1 Roll (78g)",Ciabatta Roll,Neutral,210,39,3,8,370,1
2/1/2018,Lunch,"ground Turkey - Turkey, 4 oz",Ground Turkey,Neutral,160,1,8,22,85,0
2/1/2018,Lunch,"Mayo - Mayo, 2 tablespoon",Mayo,Unhealthy,90,2,9,0,220,0
2/1/2018,Lunch,"Giorgio - Mushrooms, 3 oz",Mushrooms,Healthy,20,3,0,2,10,1
2/1/2018,Lunch,"Spinach - Raw, 0.33 cup",Spinach,Healthy,2,0,0,0,8,0
2/1/2018,Lunch,"Tillamook - Sliced Swiss Cheese, 1 slice (28 g)",Swiss Cheese,Unhealthy,110,1,8,9,60,0
2/1/2018,Dinner,"the China - Chicken Lomein, 2 cup",Lo Mein,Unhealthy,556,66,18,31,"1,072",5
2/1/2018,Dessert,"Michigan Dining - Cream Puffs, 2 Cream Puff",Cream Puffs,Unhealthy,125,13,7,4,245,0
2/1/2018,Dessert,"Flan Custard - (Flan), 0.75 cup (153 g)",Custard,Unhealthy,335,53,9,11,122,53
2/1/2018,Dessert,"Croissants - Croissants, 1 croissant",Croissant,Unhealthy,100,32,17,5,350,4
2/1/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1.25 cup",Whole Milk,Neutral,183,14,10,10,122,16
2/2/2018,Breakfast,"Walmart - Greek Nonfat Yogurt, 0.5 cup",Greek Yogurt,Healthy,60,5,0,12,58,5
2/2/2018,Breakfast,"Blueberries, 0.5 cup",Blueberries,Healthy,43,11,0,1,1,8
2/2/2018,Breakfast,"Flax Seed - Flax Seeds, 0.5 tbsp",Flax Seeds,Healthy,35,2,3,1,0,0
2/2/2018,Breakfast,"Chia Seed, 0.5 tbsp",Chia Seeds,Healthy,30,3,2,2,0,0
2/2/2018,Lunch,"Chinese - Teriyaki Chicken Stick, 2 Skewer",Teriyaki Chicken,Neutral,218,9,3,36,"2,244",5
2/2/2018,Lunch,"Grilled Veggies - Veggies, 2 cup",Veggies,Healthy,140,12,6,12,220,0
2/2/2018,Dinner,"Spaghetti Warehouse - Spaghetti With Tomato Sauce, 2 dinner size",Speghetti,Neutral,340,156,6,30,610,0
2/2/2018,Dinner,"Grilled Veggies - Veggies, 2 cup",Veggies,Healthy,140,12,6,12,220,0
2/2/2018,Drinks,"Wine - Table, red, 4 glass (3.5 fl oz)",Red Wine,Unhealthy,297,7,0,1,21,0
2/2/2018,Snacks,"Health Warrior - Chia Bar Acai, 1 bar",Health Bar,Neutral,100,14,5,3,45,5
2/2/2018,Snacks,"Tostitos - Chips & Salsa, 26 chips",Chips & Salsa,Unhealthy,300,36,14,4,0,0
2/2/2018,Drinks,"Blue Moon - Wheat Ale, 36 oz",Beer,Unhealthy,504,42,0,6,45,0
2/2/2018,Snacks,"Pringles - Sour Cream & Onion (1.41oz), 0.67 can",Potato Chips,Unhealthy,140,15,8,1,153,1
2/3/2018,Breakfast,"Beast - Banana Pancakes, 4.5 pancakes",Banana Pancakes,Unhealthy,473,59,15,30,633,15
2/3/2018,Breakfast,"Syrup, maple, Canadian, 20.0 milliliter",Maple Syrup,Unhealthy,72,18,0,0,2,16
2/3/2018,Lunch,"Wegmans - Organic Ciabatta Roll, 1 Roll (78g)",Ciabatta Roll,Neutral,210,39,3,8,370,1
2/3/2018,Lunch,"Mayo - Mayo, 2 tablespoon",Mayo,Unhealthy,90,2,9,0,220,0
2/3/2018,Lunch,"Giorgio - Mushrooms, 3 oz",Mushrooms,Healthy,20,3,0,2,10,1
2/3/2018,Lunch,"Spinach - Raw, 0.33 cup",Spinach,Healthy,2,0,0,0,8,0
2/3/2018,Lunch,"Boarshead - Chipotle Gouda Cheese, 1 oz",Gouda Cheese,Unhealthy,100,0,8,6,240,0
2/3/2018,Lunch,"ground Turkey - Turkey, 3 oz",Ground Turkey,Neutral,120,1,6,17,64,0
2/3/2018,Dinner,"Tortillas - Chips, 22.5 chips",Tortilla Chips,Unhealthy,350,48,18,5,0,0
2/3/2018,Dinner,"Sauce - Salsa, 1 cup",Salsa,Neutral,70,16,0,4,"1,554",8
2/3/2018,Dinner,"Rice - White, glutinous, cooked, 1 cup",White Rice,Neutral,169,37,0,4,9,0
2/3/2018,Dinner,"Tofu - Tofu, 3 oz",Tofu,Healthy,60,1,7,10,0,0
2/3/2018,Dinner,"Bush's Beans - Texas Ranchero, 0.5 cup",Ranchero Beans,Neutral,120,20,2,6,630,2
2/3/2018,Dinner,"Beans - Red Beans, 0.33 cup",Red Beans,Healthy,75,13,0,5,400,0
2/3/2018,Drinks,"Wine - Table, red, 1.5 glass (3.5 fl oz)",Red Wine,Unhealthy,111,3,0,0,8,0
2/3/2018,Snacks,"Pure Protein - Whey Protein Vanilla, 1 scoop",Whey Protein,Neutral,150,8,3,25,100,2
2/3/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1 cup",Whole Milk,Neutral,146,11,8,8,98,13
2/3/2018,Snacks,"Rice - White, glutinous, cooked, 0.5 cup",White Rice,Neutral,84,18,0,2,4,0
2/4/2018,Breakfast,"Special K - Fruit & Yogurt Cereal, 0.75 Cup",Cereal,Neutral,120,27,1,2,140,10
2/4/2018,Breakfast,"Milk - Whole, 3.25% milkfat, 0.5 cup",Whole Milk,Neutral,73,6,4,4,49,6
2/4/2018,Breakfast,"Blueberries, 0.5 cup",Blueberries,Healthy,43,11,0,1,1,8
2/4/2018,Lunch,"Tilapia Fillets - Tilapia, 1 Fillet",Fish,Healthy,100,0,3,20,75,0
2/4/2018,Lunch,"Tofu - Tofu, 3 oz",Tofu,Healthy,60,1,7,10,0,0
2/4/2018,Lunch,"Allrecipes.com - Bhindi Masala, 1/12 recipe",Bhindi Masala,Healthy,33,5,1,1,199,0
2/4/2018,Lunch,"Journey to India / Aldi - Tikka Masala, 0.38 cup",Tikka Masala,Unhealthy,105,9,7,0,495,6
2/4/2018,Dinner,"Journey to India / Aldi - Tikka Masala, 0.38 cup",Tikka Masala,Unhealthy,105,9,7,0,495,6
2/4/2018,Dinner,"Giorgio - Mushrooms, 3 oz",Mushrooms,Healthy,20,3,0,2,10,1
2/4/2018,Dinner,"Tofu - Tofu, 3 oz",Tofu,Healthy,60,1,7,10,0,0
2/4/2018,Dinner,"Rice - White, glutinous, cooked, 0.5 cup",White Rice,Neutral,84,18,0,2,4,0
2/4/2018,Dinner,"Tofu - Tofu, 3 oz",Tofu,Healthy,60,1,7,10,0,0
2/4/2018,Dinner,"Bush's Beans - Texas Ranchero, 0.5 cup",Ranchero Beans,Neutral,120,20,2,6,630,2
2/4/2018,Dinner,"Beans - Red Beans, 0.33 cup",Red Beans,Healthy,75,13,0,5,400,0
2/4/2018,Dinner,"Brothers - Mozzarella Cheese Sticks, 6 Stick",Mozzarella Sticks,Unhealthy,612,48,36,30,"1,476",0
2/4/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1.5 cup",Whole Milk,Neutral,220,17,12,12,146,19
2/4/2018,Snacks,"Pure Protein - Whey Protein Vanilla, 1 scoop",Whey Protein,Neutral,150,8,3,25,100,2
2/4/2018,Snacks,"Rice - White, glutinous, cooked, 0.5 cup",White Rice,Neutral,84,18,0,2,4,0
2/4/2018,Snacks,"Beans - Red Beans, 0.33 cup",Red Beans,Healthy,75,13,0,5,400,0
2/4/2018,Snacks,"Silk Creamy Cashew - Cashew Milk, 0.75 cup",Silk Milk,Neutral,45,7,2,0,128,5
2/4/2018,Snacks,"Simply Nature - Kale Chips, lemon and olive oil, 1 oz",Kale Chips,Healthy,130,18,6,1,390,1
2/4/2018,Dessert,"Blueberries, 0.5 cup",Blueberries,Healthy,43,11,0,1,1,8
2/5/2018,Breakfast,"Egg - Egg, 1 large",Eggs,Healthy,72,0,5,6,71,0
2/5/2018,Breakfast,"Tillamook - Sliced Swiss Cheese, 1 slice (28 g)",Swiss Cheese,Unhealthy,110,1,8,9,60,0
2/5/2018,Breakfast,"ham - Honey Ham, 4 slices",Ham,Neutral,60,3,2,9,650,2
2/5/2018,Breakfast,"English muffin - English Muffin, 1 muffin",English Muffin,Unhealthy,120,25,1,4,200,1
2/5/2018,Breakfast,"Ketchup - Heinz, 15 milliliter",Ketchup,Unhealthy,20,5,0,0,160,4
2/5/2018,Lunch,"Costco - Sante Fe Salad, 1 bowl",Salad,Healthy,280,14,20,11,560,6
2/5/2018,Lunch,"Crackers - Crackers, 12 crackers",Crackers,Neutral,195,11,8,6,300,3
2/5/2018,Lunch,"hummus - Hummus, 3 tbsp",Hummus,Healthy,105,6,8,3,195,2
2/5/2018,Dinner,"Golden potatoes - Golden, 185 g/5.3oz",Potatoes,Neutral,138,33,0,4,0,1
2/5/2018,Dinner,"Asparagus - Raw, 1 cup",Asparagus,Healthy,27,5,0,3,3,3
2/5/2018,Dinner,"Sainsbury's - Vegetable Sausages, 1 Sausage",Vegetable Sausage,Healthy,69,9,3,2,0,0
2/5/2018,Dinner,"Risotto - Risotto, 0.33 cup",Risotto,Neutral,213,48,0,4,0,0
2/5/2018,Drinks,"Wine - Table, red, 1.5 glass (3.5 fl oz)",Red Wine,Unhealthy,111,3,0,0,8,0
2/5/2018,Snacks,"Pure Protein - Whey Protein Vanilla, 1 scoop",Whey Protein,Neutral,150,8,3,25,100,2
2/5/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1.5 cup",Whole Milk,Neutral,220,17,12,12,146,19
2/5/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1.5 cup",Whole Milk,Neutral,220,17,12,12,146,19
2/5/2018,Snacks,"Pringles - Sour Cream & Onion (1.41oz), 1 can",Potato Chips,Unhealthy,210,23,12,2,230,1
2/5/2018,Snacks,"Pringles - Sour Cream & Onion (1.41oz), 0.75 can",Potato Chips,Unhealthy,158,17,9,2,173,1
2/5/2018,Snacks,"Medium Nectarine - Medium Nectarine, 1 Nectarine",Oranges,Healthy,60,14,0,1,0,11
2/6/2018,Breakfast,"Special K - Fruit & Yogurt Cereal, 0.75 Cup",Cereal,Neutral,120,27,1,2,140,10
2/6/2018,Breakfast,"Milk - Whole, 3.25% milkfat, 0.5 cup",Whole Milk,Neutral,73,6,4,4,49,6
2/6/2018,Breakfast,"Blueberries, 0.5 cup",Blueberries,Healthy,43,11,0,1,1,8
2/6/2018,Lunch,"Sushi - Edamane, 5 oz",Edamame,Healthy,100,9,3,7,260,2
2/6/2018,Lunch,"Tuna - Tuna roll, 2 roll",Sushi,Neutral,474,67,19,9,0,0
2/6/2018,Lunch,"Citygirlbites - Yellowtail & Scallion Roll, 2 roll",Sushi,Neutral,380,54,4,48,0,0
2/6/2018,Lunch,"Sushi - Salmon, 4 piece",Fish,Healthy,224,33,6,13,0,0
2/6/2018,Dinner,"Wegmans - Organic Ciabatta Roll, 1 Roll (78g)",Ciabatta Roll,Neutral,210,39,3,8,370,1
2/6/2018,Dinner,"Trader Joe's - Meatless Meatballs, 6 pieces (85g)",Meatballs,Unhealthy,140,8,5,14,470,1
2/6/2018,Dinner,"Borden - Natural Shredded Gouda, 14 g (1/4cup)",Gouda Cheese,Unhealthy,50,1,35,4,90,0
2/6/2018,Dinner,"Bounce - Natural Energy Ball, 1 ball",Energy Ball,Healthy,210,21,8,12,0,12
2/6/2018,Dinner,"Milk - Whole, 3.25% milkfat, 0.67 cup",Whole Milk,Neutral,98,7,5,5,65,9
2/6/2018,Dessert,"Trader Joe's - Dried Blueberries, 0.25 cup",Candy,Unhealthy,140,33,0,1,0,14
2/6/2018,Snacks,"Pure Protein - Whey Protein Vanilla, 1 scoop",Whey Protein,Neutral,150,8,3,25,100,2
2/6/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1 cup",Whole Milk,Neutral,146,11,8,8,98,13
2/7/2018,Breakfast,"Egg - Egg, 1 large",Eggs,Healthy,72,0,5,6,71,0
2/7/2018,Breakfast,"English muffin - English Muffin, 1 muffin",English Muffin,Unhealthy,120,25,1,4,200,1
2/7/2018,Breakfast,"ham - Honey Ham, 4 slices",Ham,Neutral,60,3,2,9,650,2
2/7/2018,Breakfast,"Tillamook - Sliced Swiss Cheese, 1 slice (28 g)",Swiss Cheese,Unhealthy,110,1,8,9,60,0
2/7/2018,Breakfast,"Ketchup - Heinz, 15 milliliter",Ketchup,Unhealthy,20,5,0,0,160,4
2/7/2018,Breakfast,"Bounce - Natural Energy Ball, 1 ball",Energy Ball,Healthy,210,21,8,12,0,12
2/7/2018,Breakfast,"Milk - Whole, 3.25% milkfat, 1 cup",Whole Milk,Neutral,146,11,8,8,98,13
2/7/2018,Lunch,"Tillamook - Sliced Swiss Cheese, 1 slice (28 g)",Swiss Cheese,Unhealthy,110,1,8,9,60,0
2/7/2018,Lunch,"ground Turkey - Turkey, 4 oz",Ground Turkey,Neutral,160,1,8,22,85,0
2/7/2018,Lunch,"Spinach - Raw, 2 cup",Spinach,Healthy,14,2,0,2,47,0
2/7/2018,Lunch,"Borden - Natural Shredded Gouda, 14 g (1/4cup)",Gouda Cheese,Unhealthy,50,1,35,4,90,0
2/7/2018,Dinner,"Shirakiku - Yam Noodle (Shiratake), 28 g",Jelly Noodles,Neutral,0,0,0,0,0,0
2/7/2018,Dinner,"Nasogastric - Veggie dumping s, 2.33 dumplings",Dumplings,Unhealthy,87,13,2,4,0,0
2/7/2018,Dinner,"Trader Joe's - Chicken-Less Mandarin Orange Morsels, 0.38 container (20 pieces ea.)",Orange Chicken,Unhealthy,240,29,8,12,428,13
2/7/2018,Snacks,"Bounce - Natural Energy Ball, 1 ball",Energy Ball,Healthy,210,21,8,12,0,12
2/7/2018,Snacks,"Pringles - Sour Cream & Onion (1.41oz), 2 can",Potato Chips,Unhealthy,420,46,24,4,460,2
2/7/2018,Snacks,"ham - Honey Ham, 4 slices",Ham,Neutral,60,3,2,9,650,2
2/7/2018,Snacks,"Snodream - Shaved Sno Ice , 0.5 cup",Shaved Ice,Neutral,79,19,2,1,13,11
2/7/2018,Dessert,"Blueberries, 0.5 cup",Blueberries,Healthy,43,11,0,1,1,8
2/7/2018,Dessert,"Strawberries, raw, 0.5 cup, halves",Strawberries,Healthy,24,6,0,1,1,4
2/7/2018,Dessert,"Berry protein smoothie - Smoothie, 2 cup",Smoothie,Healthy,612,72,6,72,0,0
2/7/2018,Snacks,"Michigan Dining - Scrambled Tofu, 0.5 Cup",Tofu,Healthy,102,5,5,10,216,1
2/7/2018,Snacks,"ham - Honey Ham, 3 slices",Ham,Neutral,45,2,1,7,488,2
2/7/2018,Snacks,"Tillamook - Sliced Swiss Cheese, 1 slice (28 g)",Swiss Cheese,Unhealthy,110,1,8,9,60,0
2/7/2018,Snacks,"Egg - Egg, 2 large",Eggs,Healthy,143,1,10,13,142,0
2/8/2018,Breakfast,"Egg - Egg, 2 large",Eggs,Healthy,143,1,10,13,142,0
2/8/2018,Breakfast,"Tillamook - Sliced Swiss Cheese, 1 slice (28 g)",Swiss Cheese,Unhealthy,110,1,8,9,60,0
2/8/2018,Breakfast,"Deli sliced - Turkey, 2.5 pieces",Turkey,Neutral,25,1,0,5,210,0
2/8/2018,Lunch,"Barber Foods - Chicken Parmesan, 0.9 piece",Chicken Parmesan,Unhealthy,225,12,13,18,441,2
2/8/2018,Lunch,"Black Beans, 0.5 cup",Black Beans,Healthy,110,19,1,7,10,1
2/8/2018,Lunch,"Boar's Head - Gruyere Cheese, 0.35 oz",Gruyere Cheese,Unhealthy,39,0,3,2,53,0
2/8/2018,Lunch,"Beans - Pinto, canned, 0.5 cup",Pinto Beans,Healthy,103,18,1,6,353,0
2/8/2018,Dinner,"Patties - Burger, 2 patty",Burger,Unhealthy,480,0,34,42,150,0
2/8/2018,Dinner,"Kaiser - Roll, 1 rolll",Bread,Unhealthy,167,30,3,6,310,1
2/8/2018,Dinner,"Boarshead - Chipotle Gouda Cheese, 1 oz",Gouda Cheese,Unhealthy,100,0,8,6,240,0
2/8/2018,Dinner,"Roma - Tomato Slice, 1 Slice",Tomatoes,Healthy,5,1,0,0,1,1
2/8/2018,Dinner,"Guac - Guac, 1 pack",Guacamole,Healthy,100,5,9,1,0,0
2/8/2018,Dinner,"OreIda - Sweet Potato Fries, 4.2 Oz",French Fries,Unhealthy,224,29,11,1,224,8
2/8/2018,Dinner,"Ketchup - Heinz, 15 milliliter",Ketchup,Unhealthy,20,5,0,0,160,4
2/8/2018,Drinks,"Wine - Table, red, 2.5 glass (3.5 fl oz)",Red Wine,Unhealthy,185,4,0,1,13,0
2/8/2018,Snacks,"Simply Nature - Vanilla Chip Chewy Granola Bar (Corrected 7/15), 1 bar",Granola Bar,Neutral,100,18,3,2,15,8
2/8/2018,Snacks,"Kirlands - unsalted mixed nuts, 0.25 cup",Nuts,Healthy,190,7,16,5,0,2
2/8/2018,Dessert,"Pas - Black and White Cookie, 1.5 oz",Cookies,Unhealthy,170,30,5,2,120,20
2/8/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1 cup",Whole Milk,Neutral,146,11,8,8,98,13
